;TIME;AIRTEMP;AIRHUM;RAIN;PRESSURE;DEWPOINT;WIND;WINDDIR;LIGHTWATT;ET;TEMPIN;RHIN
2017-09-12;15:02:00;-;-;0;1024044;-;-;-;-;0;18,2;73
2017-10-26;10:30:00;-;-;0;1003726;-;-;-;-;0;20,2;60
2017-10-26;11:00:00;-;-;0;1004403;-;-;-;-;0;18,2;62
2017-10-26;11:30:00;22,8;34;0;997,63;10;0;-;0;0;23,7;41
2017-10-31;12:30:00;23,3;29;0,4;996276;8,3;0;-;0;0;24,1;42
2017-10-31;13:00:00;23,4;29;0;995,26;8,9;0;-;0;0;23,8;41
2017-10-31;14:30:00;23,6;28;0;995598;8,3;0;-;6;0;22,9;41
2017-10-31;15:00:00;23,5;28;0;995598;8,3;0;-;4;0;22,4;42
2017-10-31;15:30:00;23,4;28;0;995598;8,3;0;-;3;0;22,2;42
2017-10-31;16:00:00;23,2;28;0;995598;7,8;0;-;0;0;22,1;42
2017-10-31;16:30:00;22,4;29;0;995937;7,8;0;-;0;0;21,6;41
2017-10-31;17:00:00;22,2;30;0;996276;7,8;0;-;0;0;21,4;41
2017-10-31;17:30:00;22;31;0;996276;8,3;0;-;0;0;21,3;41
2017-10-31;18:00:00;21,8;32;0;996614;8,3;0;-;0;0;21,1;41
2017-10-31;18:30:00;21,7;32;0;996953;8,3;0;-;0;0;21,1;41
2017-10-31;19:00:00;21,7;32;0;996953;8,3;0;-;0;0;20,9;41
2017-10-31;19:30:00;21,6;32;0;997292;8,3;0;-;0;0;20,9;41
2017-10-31;20:00:00;21,5;32;0;997292;8,3;0;-;0;0;20,8;41
2017-10-31;20:30:00;21,4;32;0;997292;7,8;0;-;0;0;20,8;41
2017-10-31;21:00:00;21,4;32;0;997292;7,8;0;-;0;0;20,7;41
2017-10-31;21:30:00;21,3;32;0;996953;7,8;0;-;0;0;20,7;41
2017-10-31;22:00:00;21,3;33;0;996614;8,3;0;-;0;0;20,7;41
2017-10-31;22:30:00;21,4;33;0;996614;8,3;0;-;0;0;20,7;41
2017-10-31;23:00:00;21,4;33;0;996614;8,3;0;-;0;0;20,7;41
2017-10-31;23:30:00;21,4;34;0;996614;8,9;0;-;0;0;20,7;41
2017-11-01;00:00:00;21,5;34;0;996614;8,9;0;-;0;0;20,8;41
2017-11-01;00:30:00;21,6;34;0;996614;8,9;0;-;0;0;20,8;41
2017-11-01;01:00:00;21,6;34;0;996276;8,9;0;-;0;0;20,8;41
